failure,rawReadErrorRate,spinUpTime,startStopCount,reallocatedSectors,seekErrorRate,powerOnHours,spinRetryCount,powerCycleCount,reportedUncorrect,loadCycleCount,temperature,pendingSectors,offlineUncorrectable,crcErrorCount
1,80230656.0,0.0,10.0,4784.0,287430410.0,40270.0,0.0,10.0,73.0,2997.0,36.0,8.0,8.0,0.0
1,0.0,7778.0,8.0,0.0,0.0,40223.0,0.0,8.0,0.0,510.0,34.0,1.0,4.0,0.0
1,117486648.0,0.0,20.0,1888.0,181560626.0,61675.0,0.0,19.0,36.0,2886.0,24.0,160.0,160.0,0.0
1,45604594.0,0.0,10.0,40.0,837553309.0,35879.0,0.0,8.0,184.0,1770.0,41.0,8.0,8.0,0.0
1,0.0,412.0,12.0,3.0,0.0,47795.0,0.0,12.0,0.0,1753.0,42.0,42.0,40.0,0.0
1,0.0,410.0,11.0,1.0,0.0,48502.0,0.0,10.0,0.0,2100.0,42.0,4.0,2.0,0.0
1,0.0,7854.0,2.0,0.0,0.0,37573.0,0.0,2.0,0.0,206.0,43.0,0.0,0.0,0.0
1,0.0,8034.0,9.0,0.0,0.0,32588.0,0.0,8.0,0.0,151.0,25.0,0.0,0.0,6.0
1,171794888.0,0.0,32.0,8792.0,552353517.0,62062.0,0.0,28.0,693.0,91004.0,29.0,0.0,0.0,0.0
1,240359464.0,0.0,21.0,4614.0,217010906.0,61701.0,0.0,20.0,77.0,2947.0,36.0,24.0,24.0,0.0
1,112316194.0,0.0,8.0,312.0,275770711774.0,36791.0,0.0,8.0,123.0,1889.0,25.0,8.0,8.0,0.0
1,24071048.0,0.0,10.0,496.0,910470015.0,35897.0,0.0,10.0,67.0,1781.0,38.0,32.0,32.0,0.0
1,62156130.0,0.0,8.0,88.0,47261544486.0,43247.0,0.0,8.0,12.0,1963.0,21.0,2272.0,2272.0,0.0
1,182906448.0,0.0,5.0,0.0,4320214284.0,34039.0,0.0,5.0,26.0,3574.0,43.0,112.0,112.0,0.0
1,0.0,8152.0,16.0,0.0,0.0,9494.0,0.0,16.0,0.0,28.0,30.0,0.0,0.0,0.0
1,0.0,8053.0,18.0,8983.0,0.0,25464.0,0.0,18.0,0.0,266.0,36.0,0.0,0.0,0.0
1,0.0,7864.0,17.0,0.0,0.0,17122.0,0.0,17.0,0.0,883.0,24.0,2.0,2.0,0.0
1,0.0,7945.0,9.0,0.0,0.0,17157.0,0.0,9.0,0.0,1474.0,22.0,6.0,6.0,0.0
1,0.0,8046.0,7.0,0.0,0.0,17137.0,0.0,7.0,0.0,1437.0,26.0,3.0,0.0,0.0
1,52991392.0,0.0,20.0,34600.0,3034003061.0,71663.0,0.0,20.0,71.0,34568.0,41.0,48.0,48.0,0.0
1,147093776.0,0.0,18.0,5848.0,1821996545.0,67524.0,0.0,17.0,34.0,93608.0,32.0,0.0,0.0,0.0
1,163323808.0,0.0,26.0,8.0,932632990.0,66325.0,0.0,26.0,0.0,78104.0,39.0,0.0,0.0,0.0
1,0.0,397.0,12.0,2.0,0.0,32080.0,0.0,9.0,0.0,1137.0,33.0,48.0,6.0,0.0
1,0.0,0.0,8.0,13.0,0.0,30589.0,0.0,7.0,0.0,1182.0,29.0,14.0,19.0,0.0
1,132913384.0,0.0,8.0,96.0,998239843.0,38312.0,0.0,8.0,99.0,1848.0,30.0,0.0,0.0,0.0
1,39782776.0,0.0,6.0,0.0,613874284.0,42306.0,0.0,6.0,177.0,8734.0,21.0,0.0,0.0,0.0
1,208748360.0,0.0,17.0,576.0,46167647.0,43266.0,0.0,17.0,282.0,2155.0,22.0,840.0,840.0,0.0
1,108584030.0,0.0,13.0,5968.0,869173118.0,41638.0,0.0,13.0,23.0,10876.0,21.0,0.0,0.0,0.0
1,0.0,7752.0,48.0,0.0,0.0,36500.0,0.0,48.0,0.0,63.0,32.0,1.0,5.0,0.0
1,21997888.0,0.0,30.0,104.0,917907625.0,33259.0,0.0,28.0,402.0,5050.0,35.0,408.0,408.0,0.0
1,0.0,8069.0,8.0,0.0,0.0,10511.0,0.0,8.0,0.0,103.0,38.0,177.0,177.0,0.0
