failure,rawReadErrorRate,spinUpTime,startStopCount,reallocatedSectors,seekErrorRate,powerOnHours,spinRetryCount,powerCycleCount,reportedUncorrect,loadCycleCount,temperature,pendingSectors,offlineUncorrectable,crcErrorCount,brand_HGST,brand_Other,brand_Seagate,brand_Toshiba,brand_WD
0,0.0,7877.0,12.0,0.0,0.0,31685.0,0.0,12.0,0.0,23.0,30.0,0.0,0.0,0.0,0,0,0,1,0
0,0.0,0.0,7.0,0.0,0.0,48953.0,0.0,7.0,0.0,1782.0,26.0,0.0,0.0,75.0,1,0,0,0,0
0,124403184.0,0.0,1.0,0.0,218805387.0,5925.0,0.0,1.0,0.0,366.0,41.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,345.0,15.0,0.0,0.0,17999.0,0.0,15.0,0.0,1244.0,35.0,0.0,0.0,0.0,0,0,0,0,1
0,110362584.0,0.0,1.0,0.0,181562962.0,4628.0,0.0,1.0,0.0,302.0,26.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,0.0,0.0,0.0,0.0,20334.0,0.0,2.0,0.0,0.0,38.0,0.0,0.0,0.0,0,1,0,0,0
0,197234472.0,0.0,4.0,0.0,156111185.0,25790.0,0.0,4.0,0.0,3189.0,36.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,355.0,12.0,0.0,0.0,5660.0,0.0,12.0,0.0,290.0,41.0,0.0,0.0,0.0,0,0,0,0,1
0,0.0,8382.0,4.0,0.0,0.0,21107.0,0.0,4.0,0.0,1060.0,25.0,0.0,0.0,0.0,0,0,0,1,0
0,98433392.0,0.0,3.0,0.0,181202061.0,25661.0,0.0,3.0,0.0,2355.0,35.0,0.0,0.0,0.0,0,0,1,0,0
0,94846000.0,0.0,7.0,0.0,97165959.0,38644.0,0.0,6.0,0.0,2063.0,28.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,8170.0,10.0,0.0,0.0,10185.0,0.0,10.0,0.0,24.0,34.0,0.0,0.0,0.0,0,0,0,1,0
0,25570480.0,0.0,47.0,0.0,501286644.0,44257.0,0.0,47.0,0.0,2049.0,25.0,0.0,0.0,0.0,0,0,1,0,0
